 ,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,,Trajectory
1,0,122.76592,225.92624,0,1.80532,2.20263,6.06306,19.09633,66.50091,0.02076,,69
2,1,122.95885,226.69484,0,2.03737,2.30347,6.58104,21.38411,76.25267,0.00743,,69
3,2,122.74081,225.94617,0,1.53397,2.22077,6.37614,21.33374,79.38977,0.01409,,69
4,3,122.50288,225.8949,0,1.70772,1.97097,5.03242,15.20385,52.40523,0.02529,,69
5,4,123.25535,226.8055,0,2.3499,2.5012,7.65292,26.27337,97.68337,0.01037,,69
6,5,122.71906,225.75143,0,2.45433,2.11095,5.6799,17.77003,62.2625,0.00765,,69
7,6,122.62809,225.54369,0,2.32981,2.08108,5.51964,17.01074,58.70204,0.00761,,69
8,7,123.1909,226.74895,0,2.72129,2.62963,8.35099,29.54094,112.48254,0.00735,,69
9,8,122.73274,225.87331,0,2.04448,2.19163,6.12867,19.89705,72.0013,0.0071,,69
10,9,123.23058,226.04214,0,2.47644,2.31366,6.76448,22.67121,83.57159,0.01403,,69
11,10,123.09798,225.8847,0,2.96995,2.28858,6.71204,22.77428,85.46638,0.00759,,69
12,11,123.0525,226.41797,0,3.07087,2.35248,6.92955,23.2953,85.87325,0.00735,,69
13,12,123.05061,226.48514,0,2.6165,2.439,7.37204,25.30025,94.90689,0.00831,,69
14,13,122.92909,225.6508,0,2.94202,2.07377,5.56166,17.58624,62.96048,0.00962,,69
15,14,123.58216,225.91922,0,3.44626,2.2886,6.55213,21.42228,77.08907,0.00759,,69
16,15,123.57551,225.91757,0,3.2101,2.26408,6.48958,21.45023,78.56096,0.01183,,69
17,16,122.85193,225.80739,0,3.56692,2.08342,5.52808,17.08778,59.44661,0.00768,,69
18,17,122.99844,225.42538,0,3.36806,2.24791,6.29071,20.11959,71.04065,0.00871,,69
19,18,123.36916,225.83299,0,3.56155,2.33885,6.78263,22.3367,80.58583,0.01058,,69
20,19,123.66077,225.6109,0,3.25051,2.18527,6.02148,19.10214,67.33479,0.00944,,69
21,20,123.67841,225.3535,0,3.33797,2.23009,6.27237,20.28277,72.59473,0.01181,,69
22,21,123.3517,225.21272,0,4.06227,1.9978,4.88332,13.35014,39.63565,0.01141,,69
23,22,123.73132,225.04077,0,3.76743,2.10287,5.62483,17.45517,60.59394,0.00743,,69
24,23,123.03902,224.96439,0,3.31526,1.95286,4.71859,12.8708,38.44427,0.0201,,69
25,24,123.3315,224.66481,0,3.53346,1.99436,4.97134,14.13589,44.494,0.00718,,69
26,25,123.64519,224.55154,0,3.13697,2.00634,5.16066,15.50227,52.51635,0.00873,,69
27,26,123.33291,224.49323,0,3.47086,2.11572,5.71992,17.93934,62.77646,0.00715,,69
28,27,123.22492,224.7813,0,3.06626,2.14685,5.8331,18.26252,63.50611,0.01632,,69
29,28,123.02346,225.4474,0,3.18298,1.93473,4.70059,13.1509,41.29871,0.01139,,69
30,29,123.08962,225.09166,0,2.92956,1.99089,5.04335,14.81431,48.84571,0.00756,,69
31,30,123.17421,225.52791,0,3.32801,2.0038,5.0513,14.66509,47.61347,0.01057,,69
32,31,122.74787,225.06151,0,3.02941,1.98293,5.05835,15.16568,51.59687,0.01299,,69
33,32,123.09888,224.97507,0,3.00294,1.964,4.89275,14.10298,45.58364,0.00825,,69
34,33,123.31828,225.63928,0,3.0698,2.09871,5.61593,17.40667,60.18975,0.00758,,69
35,34,123.23592,225.7469,0,2.8846,2.05422,5.3727,16.31434,55.56144,0.00901,,69
36,35,123.09435,225.38596,0,3.22053,2.02799,5.21712,15.60219,52.58786,0.00774,,69
37,36,123.41145,225.92148,0,3.3642,2.16273,5.91145,18.65444,65.53001,0.00944,,69
38,37,123.17387,225.41829,0,3.61668,2.05078,5.22798,15.17577,48.71566,0.01552,,69
39,38,123.17521,225.90271,0,3.05947,1.99895,5.04093,14.65796,47.66357,0.00836,,69
