, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,25815,905,35,599.05457,406.00641,0,4.336930000000001,3.11156,11.14139,43.08928,175.38312,0.00242,0.0,0.0,17.605,60,30.18,4.39,0.0,0,35,17.605,4.336930000000001,0.0,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,0.0,35,17.605,4.336930000000001
1,25816,905,37,597.87262,406.25357,0,3.6461699999999997,2.55629,8.02341,28.29918,108.04276000000002,0.00235,78.48851248891653,78.48851248891653,18.611,60,30.18,4.39,0.0,0,35,17.605,4.336930000000001,1.0060000000000002,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,1.0060000000000002,35,17.605,4.336930000000001
2,25817,905,38,597.09735,406.48196,0,2.34325,2.3456900000000003,7.13402,25.20758,98.30429000000001,0.0028899999999999998,130.9206811701368,52.53373689473114,19.114,60,30.18,4.39,0.26734419445176305,0,35,17.605,4.336930000000001,1.5090000000000003,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,1.5090000000000003,35,17.605,4.336930000000001
3,25818,905,39,596.8471099999999,406.66989,0,2.45091,2.1587,6.05662,19.87268,72.87827,0.00479,149.82585108869398,20.34175415402153,19.617,60,30.18,4.39,0.36373897555607093,0,35,17.605,4.336930000000001,2.0120000000000005,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,2.0120000000000005,35,17.605,4.336930000000001
4,25819,905,40,596.74823,406.74033,0,2.72905,2.00913,5.03188,14.38299,45.63877,0.00494,157.31937474274832,7.891291263151393,20.12,60,30.18,4.39,0.40194739026190657,0,35,17.605,4.336930000000001,2.5150000000000006,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,2.5150000000000006,35,17.605,4.336930000000001
5,25820,905,41,597.09003,406.60962,0,3.01327,2.02681,5.17491,15.20437,49.83128,0.00562,133.57902828974832,23.786123135606466,20.623,60,30.18,4.39,0.280898729523288,0,35,17.605,4.336930000000001,3.0180000000000007,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,3.0180000000000007,35,17.605,4.336930000000001
6,25821,905,42,596.3956900000001,406.99509,0,2.8879900000000003,1.92704,4.5666199999999995,12.124880000000001,35.01157,0.01267,184.38852584008274,51.620606701315424,21.126,60,30.18,4.39,0.5399691539354343,0,35,17.605,4.336930000000001,3.521000000000001,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,3.521000000000001,35,17.605,4.336930000000001
7,25822,905,43,596.57794,407.04202000000004,0,3.1432,2.0318099999999997,5.11958,14.6098,45.78398,0.00454,174.4881897651677,12.232697342162156,21.629,60,30.18,4.39,0.489488743925274,0,35,17.605,4.336930000000001,4.024000000000001,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,4.024000000000001,35,17.605,4.336930000000001
8,25823,905,44,597.07947,406.59689,0,3.1417,2.31616,6.71669,22.2137,80.63718,0.00379,133.99599268519094,43.58748294184062,22.132,60,30.18,4.39,0.28302477185986213,0,35,17.605,4.336930000000001,4.527000000000001,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,4.527000000000001,35,17.605,4.336930000000001
9,25824,905,45,597.28632,406.49597,0,2.76409,2.19211,5.95245,18.35737,62.21793,0.00297,119.2599809744322,14.960137820305409,22.635,60,30.18,4.39,0.20788793736810873,0,35,17.605,4.336930000000001,5.030000000000001,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,5.030000000000001,35,17.605,4.336930000000001
10,25825,905,46,597.09155,406.89191,0,2.76075,2.0952599999999997,5.57198,17.08804,58.242740000000005,0.005529999999999999,139.97743239515546,28.681417489597493,23.138,60,30.18,4.39,0.3135232849128804,0,35,17.605,4.336930000000001,5.533000000000001,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,5.533000000000001,35,17.605,4.336930000000001
11,25826,905,47,596.51776,407.1113,0,2.76358,2.0104900000000003,4.93732,13.585579999999998,40.75575,0.00607,179.8538006344219,39.92962941782969,23.641000000000002,60,30.18,4.39,0.5168472330296198,0,35,17.605,4.336930000000001,6.036000000000001,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,6.036000000000001,35,17.605,4.336930000000001
12,25827,905,48,596.64026,406.71047999999996,0,3.11234,1.88294,4.33065,11.06902,30.531159999999996,0.00782,163.4670181281982,27.242904528340734,24.144,60,30.18,4.39,0.43329335229243526,0,35,17.605,4.336930000000001,6.538999999999998,35,17.605,4.336930000000001,0.5,0,35,17.605,4.336930000000001,6.538999999999998,35,17.605,4.336930000000001
