, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,25138,877,34,180.64935,53.44057,0,1.16601,1.83239,4.16373,10.64873,29.81335,0.00421,0.0,0.0,17.272,26,13.21,7.09,0.0,16,50,25.4,6.77514,-8.128,50,25.4,6.77514,0.5,5,39,19.812,3.55498,-2.54,50,25.4,6.77514
1,25139,877,35,180.32845,53.35237,0,1.5863,2.02657,5.21533,15.53223,51.71078,0.00751,21.6320205078,21.6320205078,17.78,26,13.21,7.09,0.522623862174,16,50,25.4,6.77514,-7.62,50,25.4,6.77514,0.5,5,39,19.812,3.55498,-2.032,50,25.4,6.77514
2,25140,877,36,180.40648,53.80913,0,1.86383,2.04442,5.22454,15.21149,48.81913,0.00459,28.6901422419,30.1195144244,18.288,26,13.21,7.09,0.729744438565,16,50,25.4,6.77514,-7.112,50,25.4,6.77514,0.5,5,39,19.812,3.55498,-1.524,50,25.4,6.77514
3,25141,877,37,180.67729,53.6094,0,2.12404,1.98489,4.86927,13.4781,40.82848,0.00823,11.12320987,21.8722951476,18.796,26,13.21,7.09,0.214242822788,16,50,25.4,6.77514,-6.604,50,25.4,6.77514,0.5,5,39,19.812,3.55498,-1.016,50,25.4,6.77514
4,25142,877,38,181.03056,53.76276,0,3.42033,1.93393,4.64771,12.65127,37.84973,0.00942,32.4432353403,25.0329323305,19.304,26,13.21,7.09,0.839878952401,16,50,25.4,6.77514,-6.096,50,25.4,6.77514,0.5,5,39,19.812,3.55498,-0.508,50,25.4,6.77514
5,25143,877,39,180.84607,53.70242,0,3.55498,1.88345,4.37017,11.38957,32.43045,0.01225,21.2882870213,12.6169463355,19.812,26,13.21,7.09,0.512537003301,16,50,25.4,6.77514,-5.588,50,25.4,6.77514,0.5,5,39,19.812,3.55498,0.0,50,25.4,6.77514
6,25144,877,40,180.66663,53.65768,0,4.151,1.89608,4.3741,11.19337,30.87279,0.00762,14.1567777359,12.0206742976,20.32,26,13.21,7.09,0.303262869277,16,50,25.4,6.77514,-5.08,50,25.4,6.77514,0.5,5,39,19.812,3.55498,0.508,50,25.4,6.77514
7,25145,877,41,181.20428,53.61953,0,4.37731,1.97783,4.802,13.06883,38.69342,0.00646,37.8997373733,35.0351172772,20.828,26,13.21,7.09,1.0,16,50,25.4,6.77514,-4.572,50,25.4,6.77514,0.5,5,39,19.812,3.55498,1.016,50,25.4,6.77514
8,25146,877,42,180.98163,53.8362,0,4.97766,1.94761,4.65613,12.44984,36.11367,0.00384,33.5826194279,20.1938703736,21.336,26,13.21,7.09,0.873314177501,16,50,25.4,6.77514,-4.064,50,25.4,6.77514,0.5,5,39,19.812,3.55498,1.524,50,25.4,6.77514
9,25147,877,43,180.88962,53.65521,0,6.21579,1.9462,4.67059,12.60769,37.16887,0.0036,20.9417050539,13.1972764366,21.844,26,13.21,7.09,0.502366555755,16,50,25.4,6.77514,-3.556,50,25.4,6.77514,0.5,5,39,19.812,3.55498,2.032,50,25.4,6.77514
10,25148,877,44,180.81474,53.63232,0,5.95141,1.90298,4.43084,11.49786,32.29058,0.00901,16.4594984488,5.08953175278,22.352,26,13.21,7.09,0.370836206673,16,50,25.4,6.77514,-3.048,50,25.4,6.77514,0.5,5,39,19.812,3.55498,2.54,50,25.4,6.77514
11,25149,877,45,180.72714,53.50862,0,6.72273,1.92381,4.52793,11.87662,33.69877,0.00248,6.71802172406,9.85247564067,22.86,26,13.21,7.09,0.0849725803255,16,50,25.4,6.77514,-2.54,50,25.4,6.77514,0.5,5,39,19.812,3.55498,3.048,50,25.4,6.77514
12,25150,877,46,180.63124,53.71327,0,7.08534,1.99261,4.85373,13.20839,38.97068,0.0027,17.7645442489,14.6903498023,23.368,26,13.21,7.09,0.409132774589,16,50,25.4,6.77514,-2.032,50,25.4,6.77514,0.5,5,39,19.812,3.55498,3.556,50,25.4,6.77514
13,25151,877,47,180.95476,53.70409,0,6.91148,2.04611,5.15378,14.58295,44.91052,0.00275,26.2199122264,21.0372640885,23.876,26,13.21,7.09,0.657255540825,16,50,25.4,6.77514,-1.524,50,25.4,6.77514,0.5,5,39,19.812,3.55498,4.064,50,25.4,6.77514
14,25152,877,48,180.49651,53.51029,0,7.09371,1.96027,4.70263,12.60974,36.70696,0.00239,10.9194087935,32.3404560584,24.384,26,13.21,7.09,0.208262280369,16,50,25.4,6.77514,-1.016,50,25.4,6.77514,0.5,5,39,19.812,3.55498,4.572,50,25.4,6.77514
15,25153,877,49,180.61113,53.65297,0,6.95906,1.95253,4.63401,12.20298,34.61866,0.00276,14.0277361855,11.896123559,24.892,26,13.21,7.09,0.299476145089,16,50,25.4,6.77514,-0.508,50,25.4,6.77514,0.5,5,39,19.812,3.55498,5.08,50,25.4,6.77514
16,25154,877,50,180.72282,53.67387,0,6.77514,1.97861,4.78136,12.89011,37.63738,0.0028,15.8986772422,7.38586110569,25.4,26,13.21,7.09,0.354378908836,16,50,25.4,6.77514,0.0,50,25.4,6.77514,0.5,5,39,19.812,3.55498,5.588,50,25.4,6.77514
