, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,51399,2025,103,133.664,311.89026,0,1.58016,2.28074,6.57446,21.70151,78.67826,0.00399,0.0,0.0,52.324,69,35.05,4.67,0.0,31,135,68.58,3.50358,-16.256,135,68.58,3.50358,0.5,9,113,57.404,2.42532,-5.08,135,68.58,3.50358
1,51400,2025,104,133.32509,311.12454,0,1.64473,1.83477,4.14623,10.50488,29.01641,0.0065,54.4289952595,54.4289952595,52.832,69,35.05,4.67,0.0848349480175,31,135,68.58,3.50358,-15.748,135,68.58,3.50358,0.5,9,113,57.404,2.42532,-4.572,135,68.58,3.50358
2,51401,2025,105,132.47304,311.85544,0,1.32521,1.72429,3.75338,9.34409,25.92414,0.00463,77.445478891,72.9682256384,53.34,69,35.05,4.67,0.160021276068,31,135,68.58,3.50358,-15.24,135,68.58,3.50358,0.5,9,113,57.404,2.42532,-4.064,135,68.58,3.50358
3,51402,2025,106,133.46358,311.02713,0,1.8131,1.87754,4.43766,12.05409,36.61573,0.00888,57.5960731925,83.9297495173,53.848,69,35.05,4.67,0.0951806187221,31,135,68.58,3.50358,-14.732,135,68.58,3.50358,0.5,9,113,57.404,2.42532,-3.556,135,68.58,3.50358
4,51403,2025,108,133.18799,311.54004,0,1.9315,2.17894,5.97841,18.78586,65.04231,0.00613,38.4127215505,37.8468893166,54.864,69,35.05,4.67,0.0325157133104,31,135,68.58,3.50358,-13.716,135,68.58,3.50358,0.5,9,113,57.404,2.42532,-2.54,135,68.58,3.50358
5,51404,2025,109,133.73145,310.98624,0,2.06793,1.72457,3.70315,8.96158,23.79836,0.0048,58.9246300434,50.4344383235,55.372,69,35.05,4.67,0.0995205219336,31,135,68.58,3.50358,-13.208,135,68.58,3.50358,0.5,9,113,57.404,2.42532,-2.032,135,68.58,3.50358
6,51405,2025,110,133.90392,311.52402,0,1.97096,2.03116,5.26828,15.8354,53.23903,0.00737,28.4588189917,36.7093638435,55.88,69,35.05,4.67,0.0,31,135,68.58,3.50358,-12.7,135,68.58,3.50358,0.5,9,113,57.404,2.42532,-1.524,135,68.58,3.50358
7,51406,2025,111,133.73412,310.54321,0,1.74037,2.027,5.02135,13.92374,41.97726,0.01009,87.6767967247,64.7009717935,56.388,69,35.05,4.67,0.193443202344,31,135,68.58,3.50358,-12.192,135,68.58,3.50358,0.5,9,113,57.404,2.42532,-1.016,135,68.58,3.50358
8,51407,2025,112,133.7598,310.91415,0,2.06355,1.80579,4.08324,10.4891,29.80289,0.00732,63.7519911228,24.1688098973,56.896,69,35.05,4.67,0.115289722805,31,135,68.58,3.50358,-11.684,135,68.58,3.50358,0.5,9,113,57.404,2.42532,-0.508,135,68.58,3.50358
9,51408,2025,113,133.35947,311.33002,0,2.42532,1.92701,4.54745,11.98632,34.26814,0.00438,41.4477523415,37.5209348965,57.404,69,35.05,4.67,0.0424300349051,31,135,68.58,3.50358,-11.176,135,68.58,3.50358,0.5,9,113,57.404,2.42532,0.0,135,68.58,3.50358
10,51409,2025,114,133.7403,311.11359,0,2.18857,1.75625,3.80981,9.2519,24.48013,0.00424,50.7265754891,28.4721839311,57.912,69,35.05,4.67,0.0727405137895,31,135,68.58,3.50358,-10.668,135,68.58,3.50358,0.5,9,113,57.404,2.42532,0.508,135,68.58,3.50358
11,51410,2025,115,133.23515,311.38828,0,2.33626,1.76378,3.82714,9.28336,24.51914,0.00549,42.9145852392,37.3753458323,58.42,69,35.05,4.67,0.0472216347519,31,135,68.58,3.50358,-10.16,135,68.58,3.50358,0.5,9,113,57.404,2.42532,1.016,135,68.58,3.50358
12,51411,2025,116,133.48326,311.0462,0,2.09244,1.88623,4.44063,11.86539,34.95991,0.00937,56.1076231614,27.4679647255,58.928,69,35.05,4.67,0.0903184037063,31,135,68.58,3.50358,-9.652,135,68.58,3.50358,0.5,9,113,57.404,2.42532,1.524,135,68.58,3.50358
13,51412,2025,117,133.44118,311.13187,0,2.09985,1.71437,3.64643,8.74517,23.15239,0.00438,51.3789598037,6.20403643949,59.436,69,35.05,4.67,0.0748716117399,31,135,68.58,3.50358,-9.144,135,68.58,3.50358,0.5,9,113,57.404,2.42532,2.032,135,68.58,3.50358
14,51413,2025,118,132.92009,311.45224,0,1.828,2.12095,5.68362,17.45259,59.08407,0.00753,56.1136235322,39.7602255794,59.944,69,35.05,4.67,0.0903380046955,31,135,68.58,3.50358,-8.636,135,68.58,3.50358,0.5,9,113,57.404,2.42532,2.54,135,68.58,3.50358
15,51414,2025,119,133.29292,311.18738,0,2.68152,1.89437,4.37689,11.23206,31.08456,0.01084,51.6633747628,29.7266134198,60.452,69,35.05,4.67,0.0758006900803,31,135,68.58,3.50358,-8.128,135,68.58,3.50358,0.5,9,113,57.404,2.42532,3.048,135,68.58,3.50358
16,51415,2025,120,133.2964,311.11307,0,2.50238,1.76991,3.87462,9.49452,25.31497,0.00531,55.8831449278,4.83544366759,60.96,69,35.05,4.67,0.0895851164509,31,135,68.58,3.50358,-7.62,135,68.58,3.50358,0.5,9,113,57.404,2.42532,3.556,135,68.58,3.50358
17,51416,2025,121,133.41978,311.25552,0,2.05018,1.79081,3.98861,10.06363,28.05765,0.00921,44.2066082854,12.2494611576,61.468,69,35.05,4.67,0.0514421955533,31,135,68.58,3.50358,-7.112,135,68.58,3.50358,0.5,9,113,57.404,2.42532,4.064,135,68.58,3.50358
18,51417,2025,122,133.24626,310.75668,0,2.3818,1.81036,4.00585,9.86156,26.27898,0.00587,78.5266268147,34.330249265,61.976,69,35.05,4.67,0.163552985941,31,135,68.58,3.50358,-6.604,135,68.58,3.50358,0.5,9,113,57.404,2.42532,4.572,135,68.58,3.50358
19,51418,2025,123,133.65311,311.05927,0,2.51781,1.86361,4.388,11.82969,35.37343,0.00749,54.0189879352,32.9574762275,62.484,69,35.05,4.67,0.0834956059319,31,135,68.58,3.50358,-6.096,135,68.58,3.50358,0.5,9,113,57.404,2.42532,5.08,135,68.58,3.50358
20,51419,2025,124,133.1671,311.27191,0,2.43183,2.05714,5.3601,16.12037,54.08157,0.01261,51.5621009542,34.4819633139,62.992,69,35.05,4.67,0.0754698660537,31,135,68.58,3.50358,-5.588,135,68.58,3.50358,0.5,9,113,57.404,2.42532,5.588,135,68.58,3.50358
21,51420,2025,125,133.32684,311.28445,0,3.17853,1.85816,4.33271,11.5357,34.12273,0.00518,45.0653312057,10.4150445808,63.5,69,35.05,4.67,0.0542473253128,31,135,68.58,3.50358,-5.08,135,68.58,3.50358,0.5,9,113,57.404,2.42532,6.096,135,68.58,3.50358
22,51421,2025,126,133.45787,310.80188,0,3.04361,1.83426,4.13778,10.43037,28.55247,0.00557,72.0022988556,32.5027731587,64.008,69,35.05,4.67,0.142240422732,31,135,68.58,3.50358,-4.572,135,68.58,3.50358,0.5,9,113,57.404,2.42532,6.604,135,68.58,3.50358
23,51422,2025,127,133.59775,311.23138,0,3.01534,1.74818,3.76992,9.09497,23.90719,0.00221,43.0431510104,29.3607715684,64.516,69,35.05,4.67,0.047641611513,31,135,68.58,3.50358,-4.064,135,68.58,3.50358,0.5,9,113,57.404,2.42532,7.112,135,68.58,3.50358
24,51423,2025,128,133.21503,311.27774,0,3.03582,1.71456,3.63543,8.63162,22.36006,0.00295,49.3638438307,25.0586463681,65.024,69,35.05,4.67,0.0682889741384,31,135,68.58,3.50358,-3.556,135,68.58,3.50358,0.5,9,113,57.404,2.42532,7.62,135,68.58,3.50358
