, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,dt,inflectionPoint_fromDistance_AU,inflectionPoint_fromDistance_Index,inflectionPoint_fromDistance_Frame,inflectionPoint_fromDistance_Time,inflectionPoint_fromDistance_Intensity,time_aligned_by_inflectionPoint_fromDistance[s],inflectionPoint_fromDistance_Time_plus_dt_Index,inflectionPoint_fromDistance_Time_plus_dt_Time,inflectionPoint_fromDistance_Time_plus_dt_Intensity,inflectionPoint_fromDistance_Time_plus_dt_Distance,inflectionPoint_fromIntensity_alignment_threshold,inflectionPoint_fromIntensity_raw_AU,inflectionPoint_fromIntensity_raw_Index,inflectionPoint_fromIntensity_raw_Frame,inflectionPoint_fromIntensity_raw_Time,inflectionPoint_fromIntensity_raw_Intensity,time_aligned_by_inflectionPoint_fromIntensity_raw[s],inflectionPoint_fromIntensity_raw_Time_plus_dt_Index,inflectionPoint_fromIntensity_raw_Time_plus_dt_Time,inflectionPoint_fromIntensity_raw_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_raw_Time_plus_dt_Distance,inflectionPoint_fromIntensity_minMaxRescaled_AU,inflectionPoint_fromIntensity_minMaxRescaled_Index,inflectionPoint_fromIntensity_minMaxRescaled_Frame,inflectionPoint_fromIntensity_minMaxRescaled_Time,inflectionPoint_fromIntensity_minMaxRescaled_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Index,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Time,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Distance
0,1910,69,0,453.78464,134.94124,0,2.80385,1.92867,4.59558,12.31528,36.00307,0.004379999999999999,0.0,0.0,0.0,47,7.52,5.53,0.0,2.0,14.458398838734013,33,33,5.28,4.7539,-5.28,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-1.92,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
1,1911,69,1,454.15189000000004,135.2196,0,2.64745,1.83612,4.12956,10.347430000000001,28.084690000000002,0.01091,29.953425515666616,29.953425515666616,0.16,47,7.52,5.53,0.12794655785550532,2.0,14.458398838734013,33,33,5.28,4.7539,-5.12,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-1.76,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
2,1912,69,2,453.89758,135.23183999999998,0,2.84082,1.83949,4.16159,10.51598,28.82767,0.008620000000000001,20.26539094638791,16.54928513207037,0.32,47,7.52,5.53,0.06618379829613762,2.0,14.458398838734013,33,33,5.28,4.7539,-4.96,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-1.5999999999999999,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
3,1913,69,3,453.80219000000005,135.27216,0,3.4406,1.85968,4.22964,10.71433,29.3873,0.01201,21.540028008397783,6.731488153630959,0.48,47,7.52,5.53,0.07430981207358803,2.0,14.458398838734013,33,33,5.28,4.7539,-4.800000000000001,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-1.44,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
4,1914,69,4,453.80029,135.36154,0,3.34142,1.81066,4.00888,9.85753,26.15588,0.00941,27.338432248621903,5.811012505577947,0.64,47,7.52,5.53,0.11127556032273406,2.0,14.458398838734013,33,33,5.28,4.7539,-4.640000000000001,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-1.2799999999999998,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
5,1915,69,5,453.9234,135.41765,0,3.1688400000000003,1.8614099999999998,4.24598,10.804110000000001,29.8016,0.0101,32.25341824648283,8.794095049805033,0.8,47,7.52,5.53,0.1426093769243138,2.0,14.458398838734013,33,33,5.28,4.7539,-4.48,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-1.1199999999999999,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
6,1916,69,6,453.93542,135.37259,0,3.64305,1.8619599999999998,4.28463,11.0786,31.260590000000004,0.00822,29.70133238682281,3.0313173538914033,0.96,47,7.52,5.53,0.12633942410799354,2.0,14.458398838734013,33,33,5.28,4.7539,-4.32,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-0.96,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
7,1917,69,7,454.13622999999995,135.14801,0,3.80396,1.9096400000000002,4.4726,11.70773,33.27621,0.00585,26.51246028238051,19.58225005744724,1.12,47,7.52,5.53,0.10600985781218412,2.0,14.458398838734013,33,33,5.28,4.7539,-4.16,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-0.7999999999999998,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
8,1918,69,8,453.82797,135.18832,0,4.06835,1.9072,4.48856,11.89831,34.56837,0.0034799999999999996,16.305287934977162,20.20748741512417,1.28,47,7.52,5.53,0.04093751243959364,2.0,14.458398838734013,33,33,5.28,4.7539,-4.0,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-0.6399999999999999,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
9,1919,69,9,454.08768,135.28105,0,3.60394,1.8598400000000002,4.25408,10.88868,30.31186,0.0071400000000000005,29.594927407959286,17.924937345077566,1.44,47,7.52,5.53,0.1256610754627165,2.0,14.458398838734013,33,33,5.28,4.7539,-3.8400000000000003,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-0.48,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
10,1920,69,10,454.04175,135.03708999999998,0,4.07764,1.91352,4.52726,12.08435,35.35131,0.01144,17.835693781989217,16.135986070350064,1.6,47,7.52,5.53,0.05069409285653299,2.0,14.458398838734013,33,33,5.28,4.7539,-3.68,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-0.31999999999999984,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
11,1921,69,11,454.14867999999996,135.22321000000002,0,4.17833,1.8461900000000002,4.20447,10.740739999999999,29.928459999999998,0.00745,29.930520469286208,13.95225860004574,1.76,47,7.52,5.53,0.1278005345458058,2.0,14.458398838734013,33,33,5.28,4.7539,-3.5200000000000005,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-0.15999999999999992,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
12,1922,69,12,454.04071,135.10001,0,4.414280000000001,1.86342,4.28306,11.05524,31.15039,0.0093,19.584291580369484,10.648055681789783,1.92,47,7.52,5.53,0.06184168162854961,2.0,14.458398838734013,33,33,5.28,4.7539,-3.3600000000000003,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,0.0,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
13,1923,69,13,454.17682,135.25691,0,4.56273,1.83445,4.13839,10.44801,28.718059999999998,0.00854,32.72365601506833,13.501165333871924,2.08,47,7.52,5.53,0.1456072174077672,2.0,14.458398838734013,33,33,5.28,4.7539,-3.2,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,0.16000000000000014,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
14,1924,69,14,454.17537999999996,135.23023999999998,0,4.79141,1.83902,4.14158,10.39522,28.276220000000002,0.00491,31.590183738145,1.7360750451827156,2.24,47,7.52,5.53,0.13838115156270728,2.0,14.458398838734013,33,33,5.28,4.7539,-3.04,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,0.3200000000000003,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
