, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPoint_fromDistance_AU,inflectionPoint_fromDistance_Index,inflectionPoint_fromDistance_Frame,inflectionPoint_fromDistance_Time,inflectionPoint_fromDistance_Intensity,time_aligned_by_inflectionPoint_fromDistance[s],inflectionPoint_fromDistance_Time_plus_dt_Index,inflectionPoint_fromDistance_Time_plus_dt_Time,inflectionPoint_fromDistance_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_alignment_threshold,inflectionPoint_fromIntensity_raw_AU,inflectionPoint_fromIntensity_raw_Index,inflectionPoint_fromIntensity_raw_Frame,inflectionPoint_fromIntensity_raw_Time,inflectionPoint_fromIntensity_raw_Intensity,time_aligned_by_inflectionPoint_fromIntensity_raw[s],inflectionPoint_fromIntensity_raw_Time_plus_dt_Index,inflectionPoint_fromIntensity_raw_Time_plus_dt_Time,inflectionPoint_fromIntensity_raw_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_AU,inflectionPoint_fromIntensity_minMaxRescaled_Index,inflectionPoint_fromIntensity_minMaxRescaled_Frame,inflectionPoint_fromIntensity_minMaxRescaled_Time,inflectionPoint_fromIntensity_minMaxRescaled_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Index,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Time,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Intensity
0,1991,73,0,841.09515,138.02257,0,1.82191,2.23755,6.661980000000001,23.549039999999998,93.23252,0.00927,0.0,0.0,0.0,39,6.24,5.27,0.0,96.24887305327073,27,28,4.48,5.26698,-4.48,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-2.24,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
1,1992,73,1,840.9711300000001,138.14099,0,2.25923,2.1732099999999996,6.3398699999999995,22.121389999999998,86.94471999999999,0.00494,11.1459851507096,11.1459851507096,0.16,39,6.24,5.27,0.0,96.24887305327073,27,28,4.48,5.26698,-4.32,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-2.08,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
2,1993,73,3,841.08783,138.31798999999998,0,2.71044,2.14042,6.1134699999999995,20.86765,80.47764000000001,0.00687,19.208193848718388,13.780596331433312,0.48,39,6.24,5.27,0.035241437588262106,96.24887305327073,27,28,4.48,5.26698,-4.0,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-1.7600000000000002,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
3,1994,73,4,841.2385300000001,138.45381,0,2.81893,2.09417,5.791,19.11686,71.7075,0.0028699999999999997,29.53931861858228,13.186762344869347,0.64,39,6.24,5.27,0.08040073604249696,96.24887305327073,27,28,4.48,5.26698,-3.8400000000000003,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-1.6,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
4,1995,73,5,840.9007,138.19111999999998,0,2.8325099999999996,2.20655,6.44238,22.31005,86.70979,0.0038799999999999998,16.726598537207433,27.81628996874311,0.8,39,6.24,5.27,0.02439391557961739,96.24887305327073,27,28,4.48,5.26698,-3.6800000000000006,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-1.4400000000000002,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
5,1996,73,6,842.1106599999999,138.63312,0,2.71901,1.7236,3.66857,8.755560000000001,22.89927,0.00337,77.0197028005465,83.73067793084627,0.96,39,6.24,5.27,0.28794646680839325,96.24887305327073,27,28,4.48,5.26698,-3.5200000000000005,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-1.2800000000000002,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
6,1997,73,7,841.3726800000001,138.50766000000002,0,2.7381599999999997,2.13784,6.06241,20.46425,77.95326,0.0033399999999999997,36.326522790176604,48.656947846111585,1.12,39,6.24,5.27,0.11006888793133474,96.24887305327073,27,28,4.48,5.26698,-3.3600000000000003,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-1.12,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
7,1998,73,8,842.04303,139.06393,0,2.73896,1.78373,3.97536,10.08124,28.453440000000004,0.00905,91.53022824947186,56.621135316812904,1.28,39,6.24,5.27,0.35137471533630493,96.24887305327073,27,28,4.48,5.26698,-3.2,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-0.9600000000000002,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
8,1999,73,9,841.96191,139.07471,0,2.94408,1.8145200000000001,4.14896,10.96102,32.85627,0.01365,88.60698048782652,5.319154099106264,1.44,39,6.24,5.27,0.3385966470170743,96.24887305327073,27,28,4.48,5.26698,-3.0400000000000005,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-0.8000000000000003,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
9,2000,73,10,842.1355599999999,139.0571,0,3.07924,1.7288299999999999,3.66634,8.64609,22.06695,0.00486,95.3686523236251,11.345141523354078,1.6,39,6.24,5.27,0.36815319224176674,96.24887305327073,27,28,4.48,5.26698,-2.8800000000000003,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-0.6400000000000001,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
